token,network,fee,min,max
YGG,BEP20,1.27,2.54,9999999.0
YGG,ERC20,13.0,26.0,10000000000.0
YGG,RON,13.0,2.0,9999999.0
PEOPLE,BEP20,8.51,17.0,9999999.0
PEOPLE,ERC20,92.0,184.0,9999999.0
ZIL,BEP20,40.0,80.0,10000000000.0
ZIL,ZIL,1.0,2.0,10000000000.0
AXS,BEP20,0.12,0.24,9999999.0
AXS,ERC20,1.3,2.6,10000000000.0
AXS,RON,1.3,0.2,9999999.0
CTXC,CTXC,0.001,0.2,10000000000.0
CTXC,ERC20,0.001,78.0,10000000000.0
BIDR,BEP20,7393.0,14786.0,900000000000.0
COMP,BEP20,0.013,0.026,10000000000.0
COMP,ERC20,0.14,0.28,10000000000.0
HFT,BEP20,3.75,7.5,10000000000.0
HFT,ARBITRUM,3.75,1.3,9999999.0
HFT,ERC20,40.0,80.0,10000000000.0
OOKI,ERC20,4803.0,9606.0,10000000000.0
OOKI,MATIC,4803.0,90.0,9999999.0
RUNE,RUNE,0.1,0.5,9999999.0
FORTH,ERC20,2.2,4.4,10000000000.0
GHST,ERC20,6.58,13.0,10000000000.0
GHST,MATIC,6.58,0.12,10000000000.0
KMD,BEP20,2.29,4.58,10000000000.0
KMD,KMD,0.002,0.004,10000000000.0
ALPINE,BEP20,0.49,0.98,1000000000.0
LEVER,ERC20,3132.0,6264.0,999999999.0
IDEX,BEP20,14.0,28.0,10000000000.0
IDEX,ERC20,162.0,324.0,10000000000.0
GEL,FIAT_MONEY,0.0,0.0,10000000000.0
ZK,ZKSYNCERA,0.1,0.2,9999999.0
DEXE,BEP20,0.072,0.14,10000000000.0
DEXE,ERC20,0.78,1.56,10000000000.0
LISTA,BEP20,1.69,3.38,9999999.0
AVAX,BEP20,0.021,0.042,10000000000.0
AVAX,AVAX,0.008,0.1,9999999.0
AVAX,AVAXC,0.008,0.008,9999999.0
AZN,FIAT_MONEY,0.0,0.0,9999999.0
UAH,FIAT_MONEY,0.0,0.0,10000000000.0
BANANA,ERC20,0.13,0.26,9999999.0
KNC,BEP20,1.27,2.54,9999999.0
KNC,ERC20,13.0,26.0,10000000000.0
KNC,MATIC,13.0,0.26,9999999.0
PROS,BEP20,1.41,2.82,10000000000.0
PROS,ERC20,15.0,30.0,9900000000.0
NEIRO,ERC20,6242.0,12484.0,999999999.0
PROM,BEP20,0.11,0.22,10000000000.0
PROM,ERC20,1.2,2.4,10000000000.0
CATI,TON,0.3,0.94,9999999.0
BGBP,ERC20,2.81,5.62,10000000000.0
HIVE,HIVE,0.01,0.02,10000000000.0
LPT,ERC20,0.49,0.98,10000000000.0
GFT,BEP20,33.0,66.0,10000000000.0
BIFI,ERC20,0.022,0.044,10000000000.0
RDNT,BEP20,8.05,16.0,10000000000.0
RDNT,ARBITRUM,1.4,2.8,9999999.0
RDNT,BASE,1.4,2.8,9999999.0
RDNT,ERC20,1.4,174.0,9999999.0
PORTO,BEP20,0.4,0.8,9999999.0
OPUSDCE,OPTIMISM,0.024,0.048,9999999.0
PYR,ERC20,2.25,4.5,9999999.0
PYR,MATIC,2.25,0.042,9999999.0
WAXP,ERC20,190.0,380.0,10000000000.0
WAXP,WAX,0.2,7.0,9999999.0
DAI,BEP20,0.54,1.08,10000000000.0
DAI,ERC20,7.0,15.0,10000000000.0
DAI,MATIC,7.0,10.0,100000009.0
FET,BEP20,0.38,0.76,10000000000.0
FET,FET,1e-05,1.5,10000000000.0
FET,ERC20,1e-05,8.32,10000000000.0
DAR,BEP20,3.94,7.88,10000000000.0
DAR,ERC20,3.94,84.0,10000000000.0
LRC,ERC20,50.0,100.0,10000000000.0
TAO,TAO,0.0003,0.0005,9999999.0
MTL,MTL,0.1,0.2,9999999.0
VET,BEP20,24.0,48.0,1000000000.0
VET,VET,3.0,40.0,9900000000.0
ALPACA,BEP20,3.72,7.44,9999999.0
USDT,BEP20,0.0,10.0,10000000000.0
USDT,EOS,0.0,10.0,10000000000.0
USDT,NEAR,0.0,10.0,10000000000.0
USDT,AVAXC,0.0,0.2,9999999.0
USDT,ARBITRUM,0.0,10.0,9999999.0
USDT,STATEMINT,0.0,10.0,9999999.0
USDT,CELO,0.0,10.0,9999999.0
USDT,ERC20,4.0,16.0,10000000000.0
USDT,KAVAEVM,4.0,10.0,9999999.0
USDT,OPTIMISM,4.0,0.048,9999999.0
USDT,MATIC,4.0,10.0,1000000000.0
USDT,SPL,4.0,30.0,9999999.0
USDT,XTZ,4.0,10.0,10000000000.0
USDT,TON,4.0,5.0,9999999.0
USDT,TRC20,4.0,10.0,10000000000.0
USDT,OPBNB,4.0,20.0,9999999.0
OXT,ERC20,86.0,172.0,10000000000.0
DASH,DASH,0.0002,0.004,10000000000.0
USDP,BEP20,0.2,10.0,10000000000.0
USDP,ERC20,5.0,20.0,10000000000.0
SAGA,SAGA,0.1,2.0,9999999.0
ILS,FIAT_MONEY,0.0,0.0,10000000000.0
ILV,BEP20,0.015,0.03,9999999.0
ILV,ERC20,0.17,0.34,9999999.0
GHS,FIAT_MONEY,0.0,0.0,10000000000.0
EDU,BEP20,1.02,2.04,10000000000.0
JOD,FIAT_MONEY,0.0,0.0,10000000000.0
JOE,AVAXC,0.32,0.64,20000000.0
JOE,ARBITRUM,0.32,0.6,1000000000.0
LSK,ERC20,8.0,16.0,10000000.0
DCR,DCR,0.006,0.02,10000000000.0
CREAM,BEP20,0.033,0.066,10000000000.0
CREAM,ERC20,0.36,0.72,10000000000.0
WIF,SPL,0.62,1.24,9999999.0
IMX,ERC20,3.8,7.6,1000000000.0
DATA,BEP20,15.0,30.0,9999999.0
DATA,ERC20,164.0,328.0,10000000000.0
DATA,MATIC,164.0,3.12,9999999.0
CAT,BEP20,18628.0,37256.0,9999999999.0
LTC,BEP20,0.0086,0.017,10000000000.0
LTC,LTC,0.0001,0.002,10000000000.0
USDC,BEP20,0.0,20.0,10000000000.0
USDC,AVAXC,0.0,0.2,20000000.0
USDC,ALGO,0.0,10.0,9999999.0
USDC,ARBITRUM,0.0,0.19,20000000.0
USDC,STATEMINT,0.0,10.0,9999999.0
USDC,BASE,0.0,10.0,50000000.0
USDC,CELO,0.0,10.0,9999999.0
USDC,ERC20,4.0,50.0,10000000000.0
USDC,NEAR,4.0,10.0,21000000.0
USDC,OPTIMISM,4.0,0.048,9999999.0
USDC,MATIC,4.0,10.0,50000000.0
USDC,RON,4.0,50.0,1000000000.0
USDC,SPL,4.0,30.0,250000000.0
USDC,XLM,4.0,2.0,20000000.0
METIS,ERC20,0.18,0.36,9999999.0
METIS,METIS,0.001,0.2,9999999.0
WIN,BEP20,6252.0,12504.0,10000000000.0
WIN,TRC20,106.0,2122.0,9900000000.0
INJ,BEP20,0.027,0.054,10000000000.0
INJ,INJ,0.01,0.1,1000000000.0
SAR,FIAT_MONEY,0.0,0.0,10000000000.0
LTO,BEP20,4.63,9.26,10000000000.0
LTO,LTO,5.0,10.0,10000000000.0
LTO,ERC20,5.0,100.0,10000000000.0
EFI,ERC20,65.0,130.0,1000000000.0
DYDX,DYDX,0.01,0.1,9999999.0
DYDX,ERC20,6.91,13.0,9999999.0
POND,BEP20,47.0,94.0,10000000000.0
POND,ARBITRUM,47.0,16.0,1000000000.0
POND,ERC20,511.0,1022.0,9900000000.0
LINA,BEP20,149.0,298.0,10000000000.0
LINA,ERC20,1620.0,3240.0,10000000000.0
1000SATS,ORDIBTC,120000.0,300000.0,5000000000.0
XLM,BEP20,5.96,11.0,10000000000.0
XLM,XLM,0.001,25.0,10000000000.0
LINK,BEP20,0.051,0.1,10000000000.0
LINK,ERC20,0.55,1.1,10000000000.0
QTUM,QTUM,0.05,0.1,10000000000.0
CYBER,BEP20,0.19,0.38,9999999.0
CYBER,ERC20,2.01,4.02,9999999.0
CYBER,OPTIMISM,2.01,0.016,9999999.0
EIGEN,ERC20,1.82,3.64,9999999.0
UFT,BEP20,2.44,4.88,10000000000.0
UFT,ERC20,26.0,52.0,9900000000.0
SUPER,ERC20,5.85,11.0,10000000000.0
KSM,BEP20,0.03,0.06,10000000000.0
KSM,KSM,0.01,0.4,120000.0
FIL,BEP20,0.15,0.3,10000000000.0
FIL,FIL,0.0005,0.01,10000000000.0
ARBUSDCE,ARBITRUM,0.095,0.19,9999999.0
STMX,ERC20,1042.0,2084.0,10000000000.0
FIO,FIO,8.0,10.0,10000000000.0
BAL,BEP20,0.27,0.54,10000000000.0
BAL,ERC20,2.89,5.78,10000000000.0
VIB,ERC20,92.0,184.0,10000000000.0
GALA,ERC20,303.0,606.0,999999999.0
FIS,BEP20,1.77,3.54,10000000000.0
FIS,ERC20,19.0,38.0,9900000000.0
VIC,ERC20,0.096,32.0,10000000000.0
VIC,VIC,0.001,0.02,9999999.0
BAR,CHZ2,0.0,1.0,9999999.0
RAD,ERC20,5.77,11.0,10000000000.0
BAT,BEP20,3.35,6.7,10000000000.0
BAT,ERC20,36.0,72.0,10000000000.0
NZD,FIAT_MONEY,0.0,0.0,10000000000.0
AKRO,ERC20,1462.0,2924.0,10000000000.0
MOVR,MOVR,0.003,0.006,9999999.0
COTI,BEP20,5.45,10.0,10000000000.0
COTI,ERC20,59.0,118.0,10000000000.0
